Location,Recipe,Ingredients,Spicy,Keto,High Protein,GlutenFree
Zogtron,Zogtron Hearty Stew,Orange; Pear; Carrot; Broccoli; Pumpkin; Rice; Barley; Quinoa (Keto); Soybeans (GlutenFree); Walnut; Sesame Seeds; Sage (High Protein); Oregano; Celery (Keto); Eggplant; Artichoke; Escarole; Ginger; Turmeric; Horseradish; Yam; Jerusalem Artichoke; Lychee; Passion Fruit; Dragonfruit; Brazil Nut (Spicy); Lotus Root; Nori; Kombu; Alfalfa Sprouts; Mung Bean Sprouts (High Protein); Watercress; Mulberry; Ackee; Sapote; Santol; Wolfberry; Winter Melon (GlutenFree); Snake Gourd (Keto); Buckwheat; Black Beans; Navy Beans (Spicy); Chickpea; Cannellini Bean; Lima Bean; Soybean; Sea Kale; Lovage; Tarragon; Ramsons; Marshmallow (GlutenFree); Carnation; Rose (GlutenFree),False,False,False,False
Zogtron,Zogtron Fusion Medley,Orange; Pear; Carrot; Broccoli,False,False,False,False
Zogtron,Zogtron Special GlutenFree,Soybeans (GlutenFree); Marshmallow (GlutenFree); Winter Melon (GlutenFree); Rose (GlutenFree),False,False,False,True
Xyloria,Xyloria Hearty Stew,Apple; Zucchini; Sweet Potato; Wheat; Almond; Basil (GlutenFree); Parsley; Thyme (GlutenFree); Dill; Fennel; Chili Pepper; Arugula; Green Onion; Shallot; Blueberry; Starfruit; Tamarind (GlutenFree); Cashew; Pistachio; Betel Nut; Figs; Seaweed; Wakame; Quail Grass (Spicy); Agave; Aloe Vera (Spicy); Rose Hips; Elderberry; Breadnut; Longan; Bitter Melon; Einkorn; Triticale; Fonio; Cranberry Beans; Black-Eyed Peas; Sweet Violet; Chrysanthemum (High Protein); Lavender; Pansy; Sunflower,False,False,False,False
Xyloria,Xyloria Fusion Medley,Apple; Zucchini; Sweet Potato; Wheat,False,False,False,False
Nebulon,Nebulon Hearty Stew,Mango; Papaya (GlutenFree); Watermelon; Tomato; Kale; Swiss Chard (Spicy); Radish; Cabbage (GlutenFree); Squash (Keto); Corn (GlutenFree); Lentils; Flax Seeds; Rosemary; Lavender; Endive (High Protein); Garlic (GlutenFree); Dandelion Greens; Cranberry; Raspberry; Fig (GlutenFree); Guava; Macadamia Nut; Vanilla; Dates; Olives; Chestnut; Taro; Burdock Root; Cattail (Keto); Plantain; Jujube (Keto); Acerola; Sorghum (Keto); Pinto Beans; Lentils; Split Peas; Fava Bean; Peanuts; Wasabi; Wild Garlic; Stinging Nettle; Pokeweed; Blue Cornflower; Borage; Chamomile (GlutenFree); Safflower,False,False,False,False
Nebulon,Nebulon Fusion Medley,Mango; Papaya (GlutenFree); Watermelon; Tomato,False,False,False,False
Nebulon,Nebulon Special Keto,Sorghum (Keto); Squash (Keto); Jujube (Keto); Cattail (Keto),False,True,False,False
Nebulon,Nebulon Special GlutenFree,Chamomile (GlutenFree); Garlic (GlutenFree); Cabbage (GlutenFree); Papaya (GlutenFree),False,False,False,True
Quarzon,Quarzon Hearty Stew,Banana; Cucumber; Avocado; Spinach; Cauliflower (GlutenFree); Brussels Sprouts (Spicy); Peas (Keto); Beans; Pecan; Hazelnut; Chia Seeds; Mint; Bell Pepper; Leek (High Protein); Onion; Daikon; Malabar Spinach; Purslane; Sorrel; Rhubarb; Gooseberry; Blackberry; Kiwi; Durian; Breadfruit (Keto); Carob; Coffee Bean; Caper; Cassava; Bamboo Shoots; Prickly Pear Cactus; Hibiscus; Ackee (Spicy); Mangosteen; Salak (High Protein); Aronia (Spicy); Tamarillo; Pepino (Keto); Spelt (High Protein); Millet; Farro; Adzuki Beans; Winged Bean; Hyacinth Bean; Pea Shoots; Sassafras; Calendula; Marigold,False,False,False,False
