Name,Latin Name,Growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g),Spicy,Keto,GlutenFree,ProteinInfo
Apple,Malum vulgaris,Temperate,Moderate,83,3.04,256.9,7.9,False,False,False,
Banana,Musa minor,Mediterranean,High,181,4.85,26.1,7.9,False,False,False,
Mango,Mangifera vulgaris,Arid,Moderate,352,2.38,263.5,2.0,False,False,False,
Orange,Citrus latifolia,Tropical,Moderate,296,4.7,13.4,9.2,False,False,False,
Peach,Prunus sapiens,Polar,Low,182,0.26,286.1,7.2,False,False,False,
Pear,Pyrus major,Tropical,Low,106,4.36,317.6,2.7,False,False,False,
Papaya,Carica major,Arid,Low,91,3.3,255.6,1.4,False,False,True,
Pineapple,Ananas indica,Polar,Low,281,0.69,43.2,7.8,False,False,False,
Watermelon,Citrullus indica,Arid,Moderate,44,2.54,346.6,6.1,False,False,False,
Cucumber,Cucumis major,Mediterranean,High,314,4.15,113.6,7.4,False,False,False,
Tomato,Tomato fixa,Arid,High,159,3.23,251.0,2.0,False,False,False,
Avocado,Avocado minor,Mediterranean,High,82,4.32,361.2,8.8,False,False,False,
Spinach,Spinach latifolia,Mediterranean,High,278,0.51,236.1,8.6,False,False,False,
Kale,Kale indica,Arid,Low,275,0.48,207.4,4.7,False,False,False,
Lettuce,Lettuce minor,Polar,High,97,0.53,202.8,0.9,False,False,False,
Swiss Chard,Swiss chard fixa,Arid,Moderate,146,4.41,48.1,5.2,True,False,False,
Beet Greens,Beet greens vulgaris,Polar,Low,45,2.52,74.0,1.5,False,False,True,
Radish,Radish genuina,Arid,High,312,0.9,301.5,8.4,False,False,False,
Carrot,Carrot sapiens,Tropical,Low,94,2.25,260.9,9.9,False,False,False,
Broccoli,Broccoli vulgaris,Tropical,High,337,2.47,376.1,6.1,False,False,False,
Cauliflower,Cauliflower vulgaris,Mediterranean,High,77,3.2,53.2,3.2,False,False,True,
Cabbage,Cabbage latifolia,Arid,Moderate,181,1.98,236.7,2.3,False,False,True,
Brussels Sprouts,Brussels sprouts minor,Mediterranean,Moderate,231,4.03,192.9,4.1,True,False,False,
Zucchini,Zucchini major,Temperate,Low,217,0.55,150.2,8.0,False,False,False,
Squash,Squash indica,Arid,High,108,1.72,78.8,1.3,False,True,False,
Pumpkin,Pumpkin latifolia,Tropical,Low,62,0.3,357.8,4.2,False,False,False,
Sweet Potato,Sweet potato major,Temperate,High,86,1.17,180.2,5.2,False,False,False,
Potato,Potato latifolia,Polar,Moderate,76,0.52,159.5,9.6,False,False,False,
Corn,Corn sapiens,Arid,High,210,2.58,61.0,1.2,False,False,True,
Rice,Rice minor,Tropical,Low,130,0.69,224.5,8.0,False,False,False,
Wheat,Wheat vulgaris,Temperate,High,239,2.93,83.6,3.6,False,False,False,
Barley,Barley major,Tropical,Low,288,2.59,53.7,2.0,False,False,False,
Oats,Oats sapiens,Polar,Low,65,1.25,316.8,5.3,False,False,False,
Quinoa,Quinoa major,Tropical,High,348,3.14,147.9,0.7,False,True,False,
Lentils,Lentils fixa,Arid,High,76,1.28,174.7,5.7,False,False,False,
Chickpeas,Chickpeas genuina,Polar,Moderate,94,4.86,200.2,5.2,False,False,False,High Protein
Peas,Peas major,Mediterranean,High,252,1.76,83.7,1.2,False,True,False,
Beans,Beans indica,Mediterranean,Moderate,265,1.49,96.4,9.2,False,False,False,
Soybeans,Soybeans genuina,Tropical,High,157,0.65,274.1,7.4,False,False,True,
Almond,Almond fixa,Temperate,High,94,0.71,367.1,5.4,False,False,False,
Walnut,Walnut major,Tropical,Moderate,58,2.31,181.2,4.2,False,False,False,
Pecan,Pecan latifolia,Mediterranean,Moderate,126,0.6,237.4,1.3,False,False,False,
Hazelnut,Hazelnut latifolia,Mediterranean,Moderate,342,3.27,104.0,9.1,False,False,False,
Chestnut,Chestnut major,Polar,Low,153,0.97,371.8,8.9,False,False,False,
Sunflower Seeds,Sunflower seeds vulgaris,Polar,Low,117,4.51,101.1,6.2,False,False,False,
Sesame Seeds,Sesame seeds sapiens,Tropical,Moderate,345,3.11,381.4,0.7,False,False,False,
Flax Seeds,Flax seeds minor,Arid,High,352,4.92,136.1,6.8,False,False,False,
Chia Seeds,Chia seeds sapiens,Mediterranean,High,107,1.46,355.7,4.2,False,False,False,
